# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Dec  9 21:35:53 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN default_flag:   Default Parameter Set
# COLUMN disc_facility:  Discovery Facility
# COLUMN st_spectype:    Spectral Type
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN sy_bmag:        B (Johnson) Magnitude
# COLUMN sy_vmag:        V (Johnson) Magnitude
#
loc_rowid,pl_name,hostname,default_flag,disc_facility,st_spectype,st_lum,sy_bmag,sy_vmag
1,11 Com b,11 Com,1,Xinglong Station,G8 III,2.243,5.7260000,4.7230700
2,11 Com b,11 Com,0,Xinglong Station,,,5.7260000,4.7230700
3,11 UMi b,11 UMi,0,Thueringer Landessternwarte Tautenburg,,,6.3820000,5.0130000
4,11 UMi b,11 UMi,1,Thueringer Landessternwarte Tautenburg,,,6.3820000,5.0130000
5,11 UMi b,11 UMi,0,Thueringer Landessternwarte Tautenburg,K4 III,,6.3820000,5.0130000
6,14 And b,14 And,0,Okayama Astrophysical Observatory,,,6.2560000,5.2313300
7,14 And b,14 And,1,Okayama Astrophysical Observatory,K0 III,1.763,6.2560000,5.2313300
8,14 Her b,14 Her,0,W. M. Keck Observatory,,,7.4950000,6.6193500
9,14 Her b,14 Her,0,W. M. Keck Observatory,K0 V,,7.4950000,6.6193500
10,14 Her b,14 Her,0,W. M. Keck Observatory,,-0.153,7.4950000,6.6193500
11,14 Her b,14 Her,0,W. M. Keck Observatory,,,7.4950000,6.6193500
12,14 Her b,14 Her,0,W. M. Keck Observatory,K0 V,,7.4950000,6.6193500
13,14 Her b,14 Her,1,W. M. Keck Observatory,,,7.4950000,6.6193500
14,14 Her b,14 Her,0,W. M. Keck Observatory,,-0.150,7.4950000,6.6193500
15,16 Cyg B b,16 Cyg B,0,Multiple Observatories,G2.5 V,,6.8760000,6.2150000
16,16 Cyg B b,16 Cyg B,1,Multiple Observatories,,,6.8760000,6.2150000
17,16 Cyg B b,16 Cyg B,0,Multiple Observatories,G3 V,,6.8760000,6.2150000
18,16 Cyg B b,16 Cyg B,0,Multiple Observatories,,,6.8760000,6.2150000
19,16 Cyg B b,16 Cyg B,0,Multiple Observatories,,,6.8760000,6.2150000
20,16 Cyg B b,16 Cyg B,0,Multiple Observatories,,0.097,6.8760000,6.2150000
21,17 Sco b,17 Sco,1,Lick Observatory,K3 III,2.254,6.6150000,5.2260600
22,18 Del b,18 Del,1,Okayama Astrophysical Observatory,G6 III,1.602,6.4300000,5.5104800
23,18 Del b,18 Del,0,Okayama Astrophysical Observatory,,,6.4300000,5.5104800
24,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,Gemini Observatory,,-0.370,14.1680000,12.6180000
25,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,Gemini Observatory,K7 V,-0.370,14.1680000,12.6180000
26,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,Gemini Observatory,,-0.403,14.1680000,12.6180000
27,1RXS J160929.1-210524 b,1RXS J160929.1-210524,0,Gemini Observatory,K7 V,,14.1680000,12.6180000
28,24 Boo b,24 Boo,1,Okayama Astrophysical Observatory,G3 IV,1.774,6.4390000,5.5900000
29,24 Sex b,24 Sex,1,Lick Observatory,,1.164,7.3990000,6.4535000
30,24 Sex c,24 Sex,1,Lick Observatory,,1.164,7.3990000,6.4535000
31,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,1,Paranal Observatory,M5.5/M6,,16.9930000,15.7880000
32,2MASS J01225093-2439505 b,2MASS J01225093-2439505,0,W. M. Keck Observatory,,-1.838,15.7060000,14.2440000
