C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET22:50:48

NGC  5139
---------

Number of objects : 7684

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
----|----------|------|-------------------|---------------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1   |    997.88|    99|2000A&A...360..472V|B              |2MASS J13252131-4736540            |RG*|13 25 21.3160010118 -47 36 54.200034287|     ~|13.32 |11.48 |     ~|     ~|~              |  34|   0
2   |    997.88|   100|2001A&A...373..159C|B              |2MASS J13252131-4736540            |RG*|13 25 21.3160010118 -47 36 54.200034287|     ~|13.32 |11.48 |     ~|     ~|~              |  34|   0
3   |    997.88|   100|2007MNRAS.382.1353V|S              |2MASS J13252131-4736540            |RG*|13 25 21.3160010118 -47 36 54.200034287|     ~|13.32 |11.48 |     ~|     ~|~              |  34|   0
4   |    997.88|   100|2010ApJ...722.1373J|B              |2MASS J13252131-4736540            |RG*|13 25 21.3160010118 -47 36 54.200034287|     ~|13.32 |11.48 |     ~|     ~|~              |  34|   0
5   |    530.84|    90|2007ApJ...661L.155P|S              |SOPS IV e-94                       |C* |13 26 01.5895134275 -47 33 05.965312173|     ~|13.18 |11.44 |     ~| 9.966|C1,3p          |  54|   0
6   |    530.84|   100|2001A&A...373..159C|B              |SOPS IV e-94                       |C* |13 26 01.5895134275 -47 33 05.965312173|     ~|13.18 |11.44 |     ~| 9.966|C1,3p          |  54|   0
7   |    530.84|   100|2007MNRAS.382.1353V|S              |SOPS IV e-94                       |C* |13 26 01.5895134275 -47 33 05.965312173|     ~|13.18 |11.44 |     ~| 9.966|C1,3p          |  54|   0
8   |    258.14|   100|2000A&A...360..472V|B              |2MASS J13271206-4729449            |RG*|13 27 12.0772834640 -47 29 44.918288466|14.89 |13.140|11.645|     ~|     ~|~              |  23|   0
9   |    258.14|   100|2001A&A...373..159C|B              |2MASS J13271206-4729449            |RG*|13 27 12.0772834640 -47 29 44.918288466|14.89 |13.140|11.645|     ~|     ~|~              |  23|   0
10  |    258.14|   100|2007MNRAS.382.1353V|S              |2MASS J13271206-4729449            |RG*|13 27 12.0772834640 -47 29 44.918288466|14.89 |13.140|11.645|     ~|     ~|~              |  23|   0
11  |    258.14|   100|2010ApJ...722.1373J|B              |2MASS J13271206-4729449            |RG*|13 27 12.0772834640 -47 29 44.918288466|14.89 |13.140|11.645|     ~|     ~|~              |  23|   0
12  |     73.55|    90|2007ApJ...661L.155P|S              |Cl* NGC 5139 WFI 226236            |RG*|13 26 48.189 -47 29 59.07              |     ~|13.459|12.18 |     ~|10.658|~              |   4|   0
13  |     73.55|   100|2011ApJ...731...64M|B              |Cl* NGC 5139 WFI 226236            |RG*|13 26 48.189 -47 29 59.07              |     ~|13.459|12.18 |     ~|10.658|~              |   4|   0
14  |    691.36|   100|2007MNRAS.382.1353V|S              |2MASS J13274060-4735578            |RG*|13 27 40.604 -47 35 57.85              |14.17 |13.330|12.173|     ~|     ~|~              |   9|   0
15  |    691.36|   100|2010ApJ...722.1373J|B              |2MASS J13274060-4735578            |RG*|13 27 40.604 -47 35 57.85              |14.17 |13.330|12.173|     ~|     ~|~              |   9|   0
16  |    199.62|    90|2007ApJ...661L.155P|S              |2MASS J13265531-4725438            |RG*|13 26 55.3175515898 -47 25 43.885826855|15.35 |13.660|12.107|     ~|10.730|~              |  12|   0
17  |    199.62|   100|2007MNRAS.382.1353V|S              |2MASS J13265531-4725438            |RG*|13 26 55.3175515898 -47 25 43.885826855|15.35 |13.660|12.107|     ~|10.730|~              |  12|   0
18  |    199.62|   100|2010ApJ...722.1373J|B              |2MASS J13265531-4725438            |RG*|13 26 55.3175515898 -47 25 43.885826855|15.35 |13.660|12.107|     ~|10.730|~              |  12|   0
19  |    199.62|   100|2011ApJ...731...64M|B              |2MASS J13265531-4725438            |RG*|13 26 55.3175515898 -47 25 43.885826855|15.35 |13.660|12.107|     ~|10.730|~              |  12|   0
20  |    410.92|   100|2000A&A...360..472V|B              |2MASS J13261094-4725444            |RG*|13 26 10.9369904153 -47 25 44.493167349|     ~|12.86 |11.54 |     ~|     ~|~              |  31|   0
21  |    410.92|   100|2001A&A...373..159C|B              |2MASS J13261094-4725444            |RG*|13 26 10.9369904153 -47 25 44.493167349|     ~|12.86 |11.54 |     ~|     ~|~              |  31|   0
22  |    410.92|   100|2010ApJ...722.1373J|B              |2MASS J13261094-4725444            |RG*|13 26 10.9369904153 -47 25 44.493167349|     ~|12.86 |11.54 |     ~|     ~|~              |  31|   0
23  |    406.22|   100|2000A&A...360..472V|B              |2MASS J13261217-4725305            |RG*|13 26 12.1794624930 -47 25 30.504784205|     ~|12.85 |11.56 |     ~|     ~|~              |  14|   0
24  |    406.22|   100|2001A&A...373..159C|B              |2MASS J13261217-4725305            |RG*|13 26 12.1794624930 -47 25 30.504784205|     ~|12.85 |11.56 |     ~|     ~|~              |  14|   0
25  |    406.22|   100|2010ApJ...722.1373J|B              |2MASS J13261217-4725305            |RG*|13 26 12.1794624930 -47 25 30.504784205|     ~|12.85 |11.56 |     ~|     ~|~              |  14|   0
26  |    387.07|    90|2007ApJ...661L.155P|S              |2MASS J13265505-4722271            |RG*|13 26 55.0635070850 -47 22 27.170731305|15.46 |13.44 |11.93 |     ~|10.077|~              |  35|   0
27  |    387.07|   100|2001A&A...373..159C|B              |2MASS J13265505-4722271            |RG*|13 26 55.0635070850 -47 22 27.170731305|15.46 |13.44 |11.93 |     ~|10.077|~              |  35|   0
28  |    387.07|   100|2007MNRAS.382.1353V|S              |2MASS J13265505-4722271            |RG*|13 26 55.0635070850 -47 22 27.170731305|15.46 |13.44 |11.93 |     ~|10.077|~              |  35|   0
29  |    387.07|   100|2010ApJ...722.1373J|B              |2MASS J13265505-4722271            |RG*|13 26 55.0635070850 -47 22 27.170731305|15.46 |13.44 |11.93 |     ~|10.077|~              |  35|   0
30  |    341.60|    90|2007ApJ...661L.155P|S              |2MASS J13271864-4730509            |RG*|13 27 18.6564689716 -47 30 50.910490403|15.33 |13.289|11.84 |     ~|10.152|~              |  19|   0
31  |    341.60|   100|2001A&A...373..159C|B              |2MASS J13271864-4730509            |RG*|13 27 18.6564689716 -47 30 50.910490403|15.33 |13.289|11.84 |     ~|10.152|~              |  19|   0
32  |    341.60|   100|2007MNRAS.382.1353V|S              |2MASS J13271864-4730509            |RG*|13 27 18.6564689716 -47 30 50.910490403|15.33 |13.289|11.84 |     ~|10.152|~              |  19|   0
33  |    341.60|   100|2010ApJ...722.1373J|B              |2MASS J13271864-4730509            |RG*|13 27 18.6564689716 -47 30 50.910490403|15.33 |13.289|11.84 |     ~|10.152|~              |  19|   0
34  |    341.60|   100|2011ApJ...731...64M|B              |2MASS J13271864-4730509            |RG*|13 27 18.6564689716 -47 30 50.910490403|15.33 |13.289|11.84 |     ~|10.152|~              |  19|   0
35  |    767.45|   100|2001A&A...373..159C|B              |2MASS J13270108-4716114            |RG*|13 27 01.0870711945 -47 16 11.576523025|14.15 |13.4  |12.26 |     ~|     ~|~              |  29|   0
36  |    767.45|   100|2007MNRAS.382.1353V|S              |2MASS J13270108-4716114            |RG*|13 27 01.0870711945 -47 16 11.576523025|14.15 |13.4  |12.26 |     ~|     ~|~              |  29|   0
37  |    767.45|   100|2010ApJ...722.1373J|B              |2MASS J13270108-4716114            |RG*|13 27 01.0870711945 -47 16 11.576523025|14.15 |13.4  |12.26 |     ~|     ~|~              |  29|   0
38  |    741.14|    96|2000A&A...360..472V|B              |2MASS J13253597-4731309            |RG*|13 25 35.9752180646 -47 31 31.007041691|     ~|13.86 |12.68 |     ~|     ~|~              |  17|   0
39  |    741.14|   100|2001A&A...373..159C|B              |2MASS J13253597-4731309            |RG*|13 25 35.9752180646 -47 31 31.007041691|     ~|13.86 |12.68 |     ~|     ~|~              |  17|   0
40  |    741.14|   100|2010ApJ...722.1373J|B              |2MASS J13253597-4731309            |RG*|13 25 35.9752180646 -47 31 31.007041691|     ~|13.86 |12.68 |     ~|     ~|~              |  17|   0
41  |   1373.42|   100|2007MNRAS.382.1353V|S              |NGC 5139 1853                      |*  |13 24 44.1033467027 -47 38 22.008573665|     ~|15.52 |15.51 |     ~|     ~|~              |   5|   0
42  |    862.91|    90|2007ApJ...661L.155P|S              |2MASS J13274404-4739299            |RG*|13 27 44.0532366443 -47 39 29.902387367|     ~|13.430|12.082|     ~|10.800|~              |  13|   0
43  |    862.91|    99|2000A&A...360..472V|B              |2MASS J13274404-4739299            |RG*|13 27 44.0532366443 -47 39 29.902387367|     ~|13.430|12.082|     ~|10.800|~              |  13|   0
44  |    862.91|   100|2007MNRAS.382.1353V|S              |2MASS J13274404-4739299            |RG*|13 27 44.0532366443 -47 39 29.902387367|     ~|13.430|12.082|     ~|10.800|~              |  13|   0
45  |    862.91|   100|2010ApJ...722.1373J|B              |2MASS J13274404-4739299            |RG*|13 27 44.0532366443 -47 39 29.902387367|     ~|13.430|12.082|     ~|10.800|~              |  13|   0
46  |    862.91|   100|2011ApJ...731...64M|B              |2MASS J13274404-4739299            |RG*|13 27 44.0532366443 -47 39 29.902387367|     ~|13.430|12.082|     ~|10.800|~              |  13|   0
47  |    703.30|    90|2007ApJ...661L.155P|S              |2MASS J13272837-4738131            |RG*|13 27 28.3874440296 -47 38 13.093304561|     ~|13.64 |12.40 |     ~|11.006|~              |  20|   0
48  |    703.30|    99|2000A&A...360..472V|B              |2MASS J13272837-4738131            |RG*|13 27 28.3874440296 -47 38 13.093304561|     ~|13.64 |12.40 |     ~|11.006|~              |  20|   0
49  |    703.30|   100|2007MNRAS.382.1353V|S              |2MASS J13272837-4738131            |RG*|13 27 28.3874440296 -47 38 13.093304561|     ~|13.64 |12.40 |     ~|11.006|~              |  20|   0
50  |    703.30|   100|2010ApJ...722.1373J|B              |2MASS J13272837-4738131            |RG*|13 27 28.3874440296 -47 38 13.093304561|     ~|13.64 |12.40 |     ~|11.006|~              |  20|   0
51  |    703.30|   100|2011ApJ...731...64M|B              |2MASS J13272837-4738131            |RG*|13 27 28.3874440296 -47 38 13.093304561|     ~|13.64 |12.40 |     ~|11.006|~              |  20|   0
52  |    623.60|   100|2000A&A...360..472V|B              |2MASS J13271663-4719383            |RG*|13 27 16.6458350997 -47 19 38.387617850|14.32 |13.62 |12.44 |     ~|     ~|~              |  15|   0
53  |    623.60|   100|2007MNRAS.382.1353V|S              |2MASS J13271663-4719383            |RG*|13 27 16.6458350997 -47 19 38.387617850|14.32 |13.62 |12.44 |     ~|     ~|~              |  15|   0
54  |    623.60|   100|2010ApJ...722.1373J|B              |2MASS J13271663-4719383            |RG*|13 27 16.6458350997 -47 19 38.387617850|14.32 |13.62 |12.44 |     ~|     ~|~              |  15|   0
55  |    689.33|   100|2007MNRAS.382.1353V|S              |2MASS J13274752-4734065            |RG*|13 27 47.5298164658 -47 34 06.612483331|14.39 |13.91 |12.77 |     ~|     ~|~              |  13|   0
56  |    689.33|   100|2010ApJ...722.1373J|B              |2MASS J13274752-4734065            |RG*|13 27 47.5298164658 -47 34 06.612483331|14.39 |13.91 |12.77 |     ~|     ~|~              |  13|   0
57  |    851.79|   100|2000A&A...360..472V|B              |NGC 5139 446                       |Pe*|13 27 57.3083685674 -47 36 38.123045368|     ~|13.9  |12.79 |     ~|     ~|CEMP           |  17|   0
58  |    851.79|   100|2007MNRAS.382.1353V|S              |NGC 5139 446                       |Pe*|13 27 57.3083685674 -47 36 38.123045368|     ~|13.9  |12.79 |     ~|     ~|CEMP           |  17|   0
59  |    851.79|   100|2010ApJ...722.1373J|B              |NGC 5139 446                       |Pe*|13 27 57.3083685674 -47 36 38.123045368|     ~|13.9  |12.79 |     ~|     ~|CEMP           |  17|   0
60  |    946.72|   100|2000A&A...360..472V|B              |2MASS J13251799-4733257            |RG*|13 25 17.9940248136 -47 33 25.677530564|14.34 |13.92 |12.81 |     ~|     ~|~              |  16|   0
61  |    946.72|   100|2007MNRAS.382.1353V|S              |2MASS J13251799-4733257            |RG*|13 25 17.9940248136 -47 33 25.677530564|14.34 |13.92 |12.81 |     ~|     ~|~              |  16|   0
62  |    946.72|   100|2010ApJ...722.1373J|B              |2MASS J13251799-4733257            |RG*|13 25 17.9940248136 -47 33 25.677530564|14.34 |13.92 |12.81 |     ~|     ~|~              |  16|   0
63  |   1054.69|   100|2007MNRAS.382.1353V|S              |2MASS J13252403-4739206            |RG*|13 25 24.0414686178 -47 39 20.655422000|     ~|14.390|13.413|     ~|     ~|~              |  10|   0
64  |   1054.69|   100|2010ApJ...722.1373J|B              |2MASS J13252403-4739206            |RG*|13 25 24.0414686178 -47 39 20.655422000|     ~|14.390|13.413|     ~|     ~|~              |  10|   0
65  |    686.56|   100|2017AJ....154..150A|B              |2MASS J13272884-4737487            |RG*|13 27 28.8511578208 -47 37 48.565438481|     ~|15.869|14.797|     ~|     ~|~              |   4|   0
66  |    388.18|    90|2007ApJ...661L.155P|S              |NGC 5139 235                       |RB?|13 26 09.3786622351 -47 27 51.274220475|     ~|13.539|12.159|     ~|10.869|~              |   9|   0
67  |    388.18|   100|2010ApJ...722.1373J|B              |NGC 5139 235                       |RB?|13 26 09.3786622351 -47 27 51.274220475|     ~|13.539|12.159|     ~|10.869|~              |   9|   0
68  |    728.49|     0|2017AJ....154..150A|B              |2MASS J13274100-4736506            |RG*|13 27 41.0140110454 -47 36 50.563268275|     ~|15.771|14.653|     ~|     ~|~              |   3|   0
69  |    879.80|   100|2007MNRAS.382.1353V|S              |NGC 5139 2194                      |*  |13 28 01.7760987120 -47 36 18.918658988|     ~|14.780|13.862|     ~|     ~|~              |   7|   0
70  |    885.64|   100|2007MNRAS.382.1353V|S              |NGC 5139 2231                      |*  |13 25 30.2548026250 -47 35 45.584520646|     ~|15.500|15.421|     ~|     ~|~              |   3|   0
71  |    726.32|   100|2017AJ....154..150A|B              |2MASS J13274563-4735482            |RG*|13 27 45.6540031302 -47 35 48.139287232|     ~|15.386|14.509|     ~|     ~|~              |   4|   0
72  |    868.23|   100|2000A&A...360..472V|B              |2MASS J13252766-4734077            |RG*|13 25 27.6589359103 -47 34 07.644024402|15.21 |14.64 |13.49 |     ~|     ~|~              |  14|   0
73  |    868.23|   100|2007MNRAS.382.1353V|S              |2MASS J13252766-4734077            |RG*|13 25 27.6589359103 -47 34 07.644024402|15.21 |14.64 |13.49 |     ~|     ~|~              |  14|   0
74  |    868.23|   100|2010ApJ...722.1373J|B              |2MASS J13252766-4734077            |RG*|13 25 27.6589359103 -47 34 07.644024402|15.21 |14.64 |13.49 |     ~|     ~|~              |  14|   0
75  |    598.37|    90|2007ApJ...661L.155P|S              |2MASS J13273706-4734081            |RG*|13 27 37.0741152306 -47 34 08.051162438|     ~|15.102|14.228|     ~|13.178|~              |   6|   0
76  |    598.37|   100|2017AJ....154..150A|B              |2MASS J13273706-4734081            |RG*|13 27 37.0741152306 -47 34 08.051162438|     ~|15.102|14.228|     ~|13.178|~              |   6|   0
77  |    601.98|   100|2018A&A...618A.134M|B              |2MASS J13273795-4734004            |RG*|13 27 37.9665503063 -47 34 00.385520925|     ~|15.829|14.901|     ~|13.799|~              |   5|   0
78  |    925.93|   100|2007MNRAS.382.1353V|S              |NGC 5139 3386                      |*  |13 25 17.1746469276 -47 31 19.729442543|     ~|15.90 |15.09 |     ~|     ~|~              |   6|   0
79  |    869.67|   100|2007MNRAS.382.1353V|S              |NGC 5139 3388                      |*  |13 25 22.3750400044 -47 30 52.320239605|     ~|15.77 |14.85 |     ~|     ~|~              |   4|   0
80  |    999.58|   100|2007MNRAS.382.1353V|S              |NGC 5139 3641                      |*  |13 25 08.7346368233 -47 29 21.841312284|     ~|15.15 |14.27 |     ~|     ~|~              |   6|   0
81  |    998.49|   100|2007MNRAS.382.1353V|S              |NGC 5139 3642                      |*  |13 25 08.9673941459 -47 29 49.022310075|     ~|14.74 |13.85 |     ~|     ~|~              |   7|   0
