C.D.S.  -  SIMBAD4 rel 1.7  -  2021.02.27CET23:06:09

M  45
-----

Number of objects : 9580

 #  |dist(asec)|prob. |     link ref      |     link      |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
    |          |member|                   |    comment    |                                   |   |                                       |      |      |      |      |      |               |    |    
----|----------|------|-------------------|---------------|-----------------------------------|---|---------------------------------------|------|------|------|------|------|---------------|----|----
1   |  31579.71|     0|2010MNRAS.408..475H|B              |TYC 1791-675-1                     |*  |03 10 29.8004835810 +27 10 10.866058527|     ~|10.90 |10.44 |     ~|     ~|~              |   1|   0
2   |  34638.31|     0|2010MNRAS.408..475H|B              |TYC 1791-687-1                     |*  |03 05 34.8055506317 +26 19 36.066563633|     ~|11.32 |10.16 |     ~|     ~|~              |   1|   0
3   |  31065.95|     0|2010MNRAS.408..475H|B              |TYC 1791-713-1                     |*  |03 10 27.2919895950 +26 38 29.098821421|     ~|10.94 |10.09 |     ~|     ~|~              |   1|   0
4   |  31810.26|     0|2010MNRAS.408..475H|B              |TYC 1787-384-1                     |*  |03 08 34.3446825899 +25 34 16.402125059|     ~|10.48 | 9.96 |     ~|     ~|F0             |   4|   0
5   |  32973.25|     0|2010MNRAS.408..475H|B              |2MASS J03065100+2407163            |TT*|03 06 51.0061772908 +24 07 16.257787539|     ~|12.12 |11.31 |     ~|     ~|~              |   5|   0
6   |  30977.46|     0|2010MNRAS.408..475H|B              |TYC 1787-224-1                     |*  |03 09 52.5593936830 +25 57 07.080631838|     ~|11.10 |10.15 |     ~|     ~|~              |   2|   0
7   |  31038.79|     0|2010MNRAS.408..475H|B              |TYC 1787-314-1                     |*  |03 09 55.2423389526 +26 05 44.306133465|     ~|11.78 |10.86 |     ~|     ~|~              |   2|   0
8   |  32878.52|     0|2010MNRAS.408..475H|B              |TYC 1787-609-1                     |*  |03 07 18.7498547867 +25 41 11.236321632|     ~|11.20 |10.39 |     ~|     ~|~              |   2|   0
9   |  32416.23|     0|2010MNRAS.408..475H|B              |TYC 1787-921-1                     |*  |03 07 30.4148349381 +24 32 10.369451478|     ~|12.33 |10.63 |     ~|     ~|~              |   1|   0
10  |  31022.53|     0|2010MNRAS.408..475H|B              |TYC 1787-955-1                     |*  |03 09 25.9909964811 +25 21 14.555156528|     ~|11.06 |10.88 |     ~|     ~|~              |   1|   0
11  |  32246.31|     0|2010MNRAS.408..475H|B              |LP 355-27                          |LM*|03 07 46.8612517757 +24 57 55.357845361|     ~|14.8  |     ~|13.5  |     ~|M4.5           |  14|   0
12  |  32172.74|     0|2010MNRAS.408..475H|B              |TYC 1231-726-1                     |*  |03 09 14.8812429366 +21 59 48.191212971|     ~|11.53 |10.69 |     ~|     ~|~              |   1|   0
13  |  30246.06|     0|2010MNRAS.408..475H|B              |TYC 1783-274-1                     |*  |03 10 27.6353773275 +23 18 12.951281220|     ~|12.10 |10.42 |     ~|     ~|~              |   1|   0
14  |  32724.88|     0|2010MNRAS.408..475H|B              |TYC 1783-781-1                     |*  |03 07 19.7532560058 +23 31 28.219764190|     ~|10.38 | 9.75 |     ~|     ~|~              |   1|   0
15  |  38595.35|     0|2010MNRAS.408..475H|B              |TYC 1228-1596-1                    |*  |03 07 57.2410228947 +18 25 53.470447782|     ~|10.32 |10.06 |     ~|     ~|~              |   1|   0
16  |  26925.82|     0|2010MNRAS.408..475H|B              |TYC 1792-764-1                     |*  |03 17 12.8562029352 +27 26 05.560356276|     ~|11.38 |10.44 |     ~|     ~|~              |   2|   0
17  |  25377.00|     0|2010MNRAS.408..475H|B              |BD+25 522                          |TT*|03 17 22.86105 +26 18 54.0950          |     ~|12.51 |     ~|10.7  |     ~|K4V            |  39|   0
18  |  22708.69|     0|2010MNRAS.408..475H|B              |LP 355-64                          |Ro*|03 22 28.1397630012 +27 09 21.790174595|     ~|12.460|     ~|10.599|     ~|K7V            |  41|   0
19  |  26238.03|     0|2010MNRAS.408..475H|B              |BD+24 456                          |*  |03 15 29.5293856123 +25 32 32.745396054|     ~| 9.48 | 9.48 |     ~|     ~|A0             |   9|   0
20  |  22403.78|     0|2010MNRAS.408..475H|B              |BD+24 470                          |*  |03 20 05.9551581161 +25 18 22.204054356|     ~|10.97 |10.91 |     ~|     ~|A2             |   4|   0
21  |  26243.75|     0|2010MNRAS.408..475H|B              |BPM 85549                          |PM*|03 15 05.4518283447 +24 45 34.786925614|     ~|13.6  |12.063|11.666|     ~|K4V            |   7|   0
22  |  26598.23|     0|2010MNRAS.408..475H|B              |V* CG Ari                          |RS*|03 15 31.9165710403 +26 04 49.876716540|     ~|14.40 |12.31 |11.48 |     ~|K5             |   6|   0
23  |  26855.68|     0|2010MNRAS.408..475H|B              |TYC 1792-559-1                     |*  |03 15 26.9003086053 +26 17 37.646335530|     ~|11.42 |10.64 |     ~|     ~|~              |   1|   0
24  |  20790.06|     0|2010MNRAS.408..475H|B              |TYC 1801-631-1                     |*  |03 21 59.6146559004 +25 08 54.625131969|     ~|11.61 |10.76 |     ~|     ~|~              |   2|   0
25  |  23957.87|     0|2010MNRAS.408..475H|B              |BD+23 433                          |*  |03 17 50.6248651581 +24 01 42.625075339|     ~|11.22 |10.56 |     ~|     ~|F0             |   4|   0
26  |  24889.16|     0|2010MNRAS.408..475H|B              |BD+22 468                          |*  |03 17 15.6005426107 +22 57 21.223959026|     ~|10.31 | 9.63 |     ~|     ~|F0             |   4|   0
27  |  24517.46|   100|2017A&A...601A..19G|B              |HD 20420                           |PM*|03 17 49.7588015762 +22 49 55.885212694|     ~| 7.92 | 7.62 |     ~|     ~|A3             |  14|   0
